record_id,employee_id,employee_name,campus,department,pay_period_end,hours_worked,hourly_rate,calculated_pay,pay_status,submitted_date,approved_date,supervisor_id
TS-000353,EMP-1413,Employee 1137,Campus C,Student Success,2026-04-29,31.22,18.33,572.26,Approved,2026-05-02,2026-05-05,SUP-012
TS-002013,EMP-1211,Employee 1307,Campus A,Admissions,2026-04-14,24.71,23.87,589.83,Pending,2026-04-15,2026-04-19,SUP-013
TS-001460,EMP-1514,Employee 1359,Campus A,Library,2026-04-10,32.48,24.9,808.75,Processing,2026-04-13,2026-04-14,SUP-014
TS-001933,EMP-1325,Employee 1353,Campus D,Registrar,2026-01-27,1.67,29.28,48.9,Rejected,2026-01-29,2026-01-31,SUP-025
TS-001572,EMP-1626,Employee 1525,Campus B,Facilities,2026-01-20,25.92,27.23,705.8,Pending,2026-01-20,2026-01-22,SUP-007
TS-001637,EMP-1390,Employee 1944,Campus C,Admissions,2026-05-28,6.85,13.77,94.32,Pending,2026-05-30,2026-06-01,SUP-002
TS-001942,EMP-1228,Employee 1500,Campus A,Facilities,2026-03-15,9.51,11.03,104.9,Approved,2026-03-17,2026-03-20,SUP-001
TS-001202,EMP-1662,Employee 1029,Campus A,Library,2026-01-08,29.66,10.53,101.13,Processing,2026-01-11,2026-01-12,SUP-003
TS-001984,EMP-1500,Employee 1177,Campus E,IT Services,2026-06-07,34.98,24.41,853.86,Rejected,2026-06-10,2026-06-13,SUP-008
TS-002189,EMP-1400,Employee 1763,Campus B,Career Services,2026-02-09,1.38,7.35,10.14,Approved,2026-02-10,2026-02-14,SUP-019
TS-001632,EMP-1008,Employee 1946,Campus D,Registrar,2026-04-30,5.49,24.8,136.15,Approved,2026-05-01,2026-05-02,SUP-008
TS-002494,EMP-1626,Employee 1432,Campus E,Financial Aid,2026-05-02,26.26,24.48,642.84,Approved,2026-05-05,2026-05-08,SUP-026
TS-000507,EMP-1758,Employee 1073,Campus A,Facilities,2026-05-05,4.3,21.86,94.0,Processing,2026-05-08,2026-05-10,SUP-030
TS-001149,EMP-1207,Employee 1884,Campus B,Facilities,2026-04-28,7.83,28.57,223.7,Pending,2026-04-30,2026-05-02,SUP-021
TS-000292,EMP-1304,Employee 1865,Campus B,Facilities,2026-03-17,5.99,13.13,78.65,Pending,2026-03-17,2026-03-21,SUP-022
TS-002251,EMP-1346,Employee 1571,Campus C,Admissions,2026-03-02,14.07,14.38,202.33,Rejected,2026-03-05,2026-03-06,SUP-009
TS-000573,EMP-1383,Employee 1928,Campus D,Library,2026-06-26,36.11,10.42,376.27,Approved,2026-06-26,2026-06-30,SUP-020
TS-000792,EMP-1627,Employee 1158,Campus B,Admissions,2026-01-04,16.78,16.71,280.39,Processing,2026-01-06,2026-01-10,SUP-024
TS-001776,EMP-1278,Employee 1250,Campus A,Registrar,2026-05-11,1.54,27.42,42.23,Approved,2026-05-13,2026-05-15,SUP-006
TS-001068,EMP-1684,Employee 1798,Campus A,Library,2026-02-03,32.29,9.3,300.3,Rejected,2026-02-03,2026-02-04,SUP-023
TS-000656,EMP-1534,Employee 1502,Campus D,IT Services,2026-06-25,26.96,26.18,705.81,Pending,2026-06-26,2026-06-29,SUP-032
TS-001024,EMP-1362,Employee 1715,Campus D,Student Success,2026-01-30,33.62,13.4,450.51,Processing,2026-01-30,2026-02-03,SUP-020
TS-002330,EMP-1721,Employee 1746,Campus B,IT Services,2026-03-15,16.57,10.45,41.71,Pending,2026-03-17,2026-03-22,SUP-037
TS-000216,EMP-1689,Employee 1931,Campus B,IT Services,2026-02-10,26.53,12.95,343.56,Rejected,2026-02-12,2026-02-13,SUP-011
TS-000167,EMP-1602,Employee 1559,Campus D,Facilities,2026-05-19,2.32,26.51,26.5,Approved,2026-05-19,2026-05-24,SUP-001
TS-000198,EMP-1323,Employee 1818,Campus E,Facilities,2026-04-04,18.84,13.22,249.06,Processing,2026-04-06,2026-04-08,SUP-034
TS-001339,EMP-1551,Employee 1666,Campus C,Student Success,2026-01-08,38.74,22.53,872.81,Processing,2026-01-11,2026-01-16,SUP-014
TS-000798,EMP-1455,Employee 1751,Campus D,Career Services,2026-01-28,11.49,12.02,138.11,Processing,2026-01-30,2026-02-01,SUP-020
TS-001029,EMP-1432,Employee 1287,Campus C,Career Services,2026-03-05,23.27,8.13,189.19,Rejected,2026-03-07,2026-03-10,SUP-024
TS-001793,EMP-1009,Employee 1812,Campus E,Financial Aid,2026-04-23,14.88,27.8,413.66,Approved,2026-04-26,2026-04-30,SUP-040
TS-000907,EMP-1172,Employee 1237,Campus B,Facilities,2026-02-11,31.63,14.96,473.18,Rejected,2026-02-13,2026-02-17,SUP-040
TS-001730,EMP-1419,Employee 1042,Campus E,Admissions,2026-04-05,17.37,11.85,205.83,Pending,2026-04-06,2026-04-10,SUP-025
TS-000225,EMP-1112,Employee 1396,Campus E,Registrar,2026-04-04,38.22,24.78,62.38,Approved,2026-04-05,2026-04-09,SUP-038
TS-001534,EMP-1339,Employee 1624,Campus C,Facilities,2026-01-15,24.54,25.64,629.21,Rejected,2026-01-15,2026-01-18,SUP-007
TS-000728,EMP-1767,Employee 1110,Campus D,Financial Aid,2026-03-29,21.27,12.64,268.85,Approved,2026-03-29,2026-04-01,SUP-039
TS-001234,EMP-1552,Employee 1330,Campus A,Career Services,2026-02-18,28.31,20.0,566.2,Pending,2026-02-20,2026-02-25,SUP-026
TS-000563,EMP-1013,Employee 1544,Campus E,IT Services,2026-04-26,8.35,27.36,228.46,Approved,2026-04-28,2026-04-29,SUP-006
TS-001405,EMP-1043,Employee 1954,Campus C,Student Success,2026-02-08,34.48,13.59,468.58,Pending,2026-02-10,2026-02-12,SUP-015
TS-002383,EMP-1464,Employee 1002,Campus B,Library,2026-03-14,65.13,17.86,1163.22,Rejected,2026-03-17,2026-03-18,SUP-034
TS-001328,EMP-1292,Employee 1466,Campus C,Financial Aid,2026-06-30,7.35,10.17,74.75,Approved,2026-07-03,2026-07-06,SUP-008
TS-000997,EMP-1368,Employee 1376,Campus C,Registrar,2026-04-09,17.26,16.91,291.87,Approved,2026-04-09,2026-04-13,SUP-019
TS-000732,EMP-1324,Employee 1475,Campus D,Career Services,2026-03-28,21.17,20.62,436.53,Approved,2026-03-28,2026-04-01,SUP-007
TS-000314,EMP-1631,Employee 1590,Campus E,Financial Aid,2026-06-21,21.4,23.19,496.27,Approved,2026-06-23,2026-06-28,SUP-028
TS-000687,EMP-1726,Employee 1414,Campus B,IT Services,2026-01-22,14.05,23.75,333.69,Pending,2026-01-22,2026-01-27,SUP-034
TS-000188,EMP-1668,Employee 1851,Campus A,Registrar,2026-06-22,25.7,12.76,327.93,Pending,2026-06-25,2026-06-27,SUP-028
TS-002372,EMP-1456,Employee 1575,Campus D,Registrar,2026-01-31,39.97,,,Approved,2026-02-03,2026-02-08,SUP-040
TS-001827,EMP-1419,Employee 1406,Campus A,Admissions,2026-05-22,20.95,,,Processing,2026-05-25,2026-05-26,SUP-008
TS-001304,EMP-1172,Employee 1974,Campus A,Admissions,2026-04-21,2.95,9.06,26.73,Rejected,2026-04-22,2026-04-24,SUP-034
TS-000633,EMP-1434,Employee 1028,Campus A,Facilities,2026-06-11,1.12,11.8,13.22,Rejected,2026-06-14,2026-06-16,SUP-021
TS-001921,EMP-1324,Employee 1782,Campus B,Library,2026-05-28,13.62,11.89,161.94,Pending,2026-05-28,2026-05-30,SUP-022
TS-001770,EMP-1326,Employee 1584,Campus D,Admissions,2026-01-19,19.62,8.25,161.87,Pending,2026-01-22,2026-01-26,SUP-031
TS-001129,EMP-1680,Employee 1375,Campus A,Library,2026-03-06,27.32,24.7,674.8,Approved,2026-03-09,2026-03-12,SUP-035
TS-000194,EMP-1538,Employee 1713,Campus D,Library,2026-01-18,32.6,9.87,321.76,Rejected,2026-01-20,2026-01-21,SUP-007
TS-000522,EMP-1406,Employee 1472,Campus B,Financial Aid,2026-05-14,13.22,7.49,99.02,Approved,2026-05-16,2026-05-18,SUP-005
TS-002087,EMP-1620,Employee 1746,Campus B,Facilities,2026-01-16,37.8,10.6,400.68,Approved,2026-01-17,2026-01-19,SUP-007
TS-000145,EMP-1380,Employee 1425,Campus E,Student Success,2026-05-18,27.53,20.8,572.62,Approved,2026-05-19,2026-05-21,SUP-034
TS-001493,EMP-1714,Employee 1262,Campus A,Registrar,2026-01-31,35.7,27.57,984.25,Approved,2026-02-02,2026-02-07,SUP-022
TS-001646,EMP-1029,Employee 1435,Campus B,Financial Aid,2026-03-06,6.34,25.68,162.81,Processing,2026-03-09,2026-03-10,SUP-028
TS-000307,EMP-1362,Employee 1002,Campus A,Career Services,2026-01-29,38.03,24.98,949.99,Approved,2026-02-01,2026-02-03,SUP-007
TS-001166,EMP-1533,Employee 1310,Campus A,Financial Aid,2026-02-28,30.71,18.11,556.16,Approved,2026-03-01,2026-03-06,SUP-035
TS-000974,EMP-1767,Employee 1483,Campus A,Admissions,2026-01-05,21.49,11.06,95.37,Pending,2026-01-07,2026-01-09,SUP-007
TS-000800,EMP-1371,Employee 1383,Campus Z,Facilities,2026-02-20,20.6,9.76,201.06,Pending,2026-02-23,2026-02-25,SUP-012
TS-001242,EMP-1317,Employee 1107,Campus E,Financial Aid,2026-03-31,11.5,5.11,58.77,Processing,2026-04-01,2026-04-05,SUP-040
TS-001713,EMP-1296,Employee 1732,Campus D,Student Success,2026-05-02,36.3,26.42,959.05,Rejected,2026-05-04,2026-05-09,SUP-012
TS-000811,EMP-1062,Employee 1249,Campus B,Facilities,2026-06-18,17.96,23.53,422.6,Pending,2026-06-18,2026-06-19,SUP-021
TS-000061,EMP-1409,Employee 1628,Campus E,Admissions,2026-06-05,8.04,23.24,186.85,Rejected,2026-06-07,2026-06-08,SUP-022
TS-001817,EMP-1415,Employee 1910,Campus E,Student Success,2026-03-08,2.9,18.56,53.82,Pending,2026-03-10,2026-03-14,SUP-002
TS-000513,EMP-1622,Employee 1983,Campus C,IT Services,2026-02-12,30.23,23.79,719.17,Rejected,2026-02-12,2026-02-17,SUP-004
TS-000914,EMP-1134,Employee 1874,Campus A,Financial Aid,2026-04-10,14.61,17.91,261.67,Processing,2026-04-13,2026-04-14,SUP-007
TS-001267,EMP-1481,Employee 1754,Campus C,Registrar,2026-06-26,33.12,15.83,524.29,Pending,2026-06-26,2026-06-30,SUP-032
TS-000810,EMP-1063,Employee 1815,Campus A,IT Services,2026-06-22,35.96,28.98,1042.12,Processing,2026-06-25,2026-06-27,SUP-035
TS-000584,EMP-1124,Employee 1763,Campus C,Student Success,2026-05-25,25.49,18.08,460.86,Approved,2026-05-28,2026-05-31,SUP-024
TS-000537,EMP-1481,Employee 1019,Campus D,Admissions,2026-03-04,7.72,8.39,64.77,Rejected,2026-03-05,2026-03-06,SUP-007
TS-002203,EMP-1599,Employee 1322,Campus A,Admissions,2026-06-27,13.53,24.94,337.44,Approved,2026-06-30,2026-07-04,SUP-031
TS-000305,EMP-1067,Employee 1523,Campus E,Career Services,2026-03-14,20.41,21.1,430.65,Rejected,2026-03-14,2026-03-15,SUP-034
TS-001037,EMP-1122,Employee 1621,Campus C,Library,2026-04-15,37.76,13.94,526.37,Approved,2026-04-17,2026-04-21,SUP-011
TS-000436,EMP-1660,Employee 1238,Campus C,IT Services,2026-01-24,36.8,23.95,881.36,Rejected,2026-01-27,2026-02-01,SUP-031
TS-000142,EMP-1170,Employee 1392,Campus B,Student Success,2026-03-10,23.72,20.28,481.04,Rejected,2026-03-12,2026-03-15,SUP-024
TS-000337,EMP-1472,Employee 1549,Campus Z,Career Services,2026-03-31,26.87,14.78,397.14,Rejected,2026-04-01,2026-04-03,SUP-014
TS-000362,EMP-1394,Employee 1450,Campus B,Financial Aid,2026-01-20,6.86,10.83,74.29,Approved,2026-01-22,2026-01-24,SUP-015
TS-001507,EMP-1745,Employee 1639,Campus D,Career Services,2026-04-19,89.64,22.75,2039.31,Rejected,2026-04-19,2026-04-22,SUP-002
TS-001407,EMP-1443,Employee 1481,Campus D,Facilities,2026-03-02,24.5,9.0,220.5,Approved,2026-03-02,2026-03-04,SUP-018
TS-000730,EMP-1356,Employee 1066,Campus B,Admissions,2026-04-24,24.82,17.07,423.68,Approved,2026-04-24,2026-04-27,SUP-004
TS-000450,EMP-1751,Employee 1520,Campus A,Library,2026-05-05,8.76,29.24,256.14,Approved,2026-05-05,2026-05-07,SUP-003
TS-000797,EMP-1214,Employee 1530,Campus B,Registrar,2026-02-12,27.98,18.64,521.55,Processing,2026-02-15,2026-02-18,SUP-038
TS-000670,EMP-1280,Employee 1592,Campus E,IT Services,2026-01-10,19.96,20.7,413.17,Processing,2026-01-13,2026-01-17,SUP-015
TS-000605,EMP-1057,Employee 1755,Campus A,Career Services,2026-05-08,15.92,22.7,361.38,Pending,2026-05-08,2026-05-10,SUP-020
TS-001345,EMP-1709,Employee 1746,Campus E,Facilities,2026-01-25,9.4,,,Processing,2026-01-25,2026-01-28,SUP-024
TS-000209,EMP-1451,Employee 1299,Campus C,IT Services,2026-05-12,38.55,25.12,968.38,Approved,2026-05-12,2026-05-14,SUP-018
TS-000667,EMP-1567,Employee 1492,Campus B,Financial Aid,2026-04-22,12.74,17.79,226.64,Processing,2026-04-23,2026-04-24,SUP-028
TS-001906,EMP-1255,Employee 1544,Campus B,Career Services,2026-03-14,36.76,20.18,741.82,Approved,2026-03-17,2026-03-22,SUP-006
TS-001434,EMP-1473,Employee 1956,Campus B,Admissions,2026-01-01,2.27,13.88,31.51,Rejected,2026-01-04,2026-01-06,SUP-023
TS-000082,EMP-1610,Employee 1158,Campus A,IT Services,2026-01-26,35.18,21.31,749.69,Processing,2026-01-26,2026-01-29,SUP-010
TS-002353,EMP-1660,Employee 1414,Campus E,Library,2026-02-10,31.32,28.84,903.27,Processing,2026-02-12,2026-02-16,SUP-028
TS-000888,EMP-1274,Employee 1277,Campus D,Library,2026-03-09,34.61,29.5,1021.0,Pending,2026-03-09,2026-03-10,SUP-021
TS-001340,EMP-1070,Employee 1115,Campus A,Registrar,2026-01-28,30.63,23.99,734.81,Rejected,2026-01-29,2026-01-31,SUP-014
TS-000333,EMP-1589,Employee 1721,Campus C,Financial Aid,2026-02-19,7.92,22.78,180.42,Pending,2026-02-21,2026-02-25,SUP-012
TS-000381,EMP-1678,Employee 1986,Campus B,Student Success,2026-04-14,7.83,18.77,146.97,Approved,2026-04-14,2026-04-17,SUP-033
TS-001960,EMP-1637,Employee 1629,Campus D,Library,2026-04-23,36.52,,,Processing,2026-04-24,2026-04-29,SUP-022
TS-000555,EMP-1503,Employee 1751,Campus E,Admissions,2026-04-19,32.58,23.1,752.6,Approved,2026-04-22,2026-04-26,SUP-029
TS-002322,EMP-1062,Employee 1284,Campus B,Admissions,2026-02-04,27.52,29.52,812.39,Rejected,2026-02-05,2026-02-07,SUP-040
TS-001570,EMP-1659,Employee 1884,Campus D,IT Services,2026-05-11,17.82,13.73,51.03,Approved,2026-05-11,2026-05-12,SUP-016
TS-000738,EMP-1202,Employee 1166,Campus A,Student Success,2026-01-11,36.88,21.78,803.25,Pending,2026-01-14,2026-01-16,SUP-030
TS-001941,EMP-1054,Employee 1611,Campus B,Registrar,2026-03-25,34.08,25.85,880.97,Pending,2026-03-26,2026-03-27,SUP-021
TS-000775,EMP-1660,Employee 1383,Campus B,Financial Aid,2026-01-24,2.09,7.58,15.84,Pending,2026-01-24,2026-01-28,SUP-005
TS-001532,EMP-1580,Employee 1342,Campus D,Career Services,2026-05-21,21.43,7.55,161.8,Processing,2026-05-22,2026-05-27,SUP-022
TS-001580,EMP-1040,Employee 1547,Campus C,Financial Aid,2026-04-21,34.86,28.93,1008.5,Pending,2026-04-23,2026-04-28,SUP-003
TS-002137,EMP-1229,Employee 1201,Campus D,Facilities,2026-04-29,21.41,18.09,387.31,Processing,2026-05-02,2026-05-06,SUP-003
TS-001370,EMP-1288,Employee 1886,Campus E,Student Success,2026-02-28,4.96,10.42,51.68,Approved,2026-03-03,2026-03-04,SUP-029
TS-000031,EMP-1264,Employee 1879,Campus E,Registrar,2026-03-23,2.4,8.81,5.23,Rejected,2026-03-26,2026-03-31,SUP-015
TS-000848,EMP-1464,Employee 1375,Campus B,Library,2026-01-14,15.78,15.74,248.38,Approved,2026-01-17,2026-01-21,SUP-022
TS-002010,EMP-1316,Employee 1621,Campus E,Registrar,2026-03-07,17.69,27.24,481.88,Processing,2026-03-10,2026-03-15,SUP-009
TS-000429,EMP-1159,Employee 1751,Campus A,IT Services,2026-01-20,4.79,23.75,113.76,Processing,2026-01-21,2026-01-26,SUP-013
TS-001802,EMP-1453,Employee 1221,Campus D,Facilities,2026-03-29,27.27,9.56,260.7,Approved,2026-03-31,2026-04-03,SUP-035
TS-001309,EMP-1305,Employee 1066,Campus A,Career Services,2026-05-07,25.17,25.85,650.64,Approved,2026-05-09,2026-05-10,SUP-029
TS-001012,EMP-1667,Employee 1058,Campus E,Career Services,2026-05-30,26.48,7.98,211.31,Processing,2026-06-02,2026-06-05,SUP-017
TS-001655,EMP-1721,Employee 1537,Campus B,Facilities,2026-06-29,2.25,29.54,66.47,Processing,2026-07-02,2026-07-03,SUP-027
TS-001236,EMP-1092,Employee 1348,Campus E,Library,2026-04-12,5.04,29.0,146.16,Rejected,2026-04-13,2026-04-17,SUP-040
TS-000252,EMP-1777,Employee 1059,Campus D,Library,2026-05-30,4.91,22.19,108.95,Rejected,2026-05-31,2026-06-02,SUP-035
TS-002260,EMP-1572,Employee 1016,Campus A,Career Services,2026-02-16,29.91,29.72,888.93,Pending,2026-02-19,2026-02-23,SUP-009
TS-001593,EMP-1243,Employee 1889,Campus B,Library,2026-05-16,9.72,29.81,289.75,Approved,2026-05-18,2026-05-19,SUP-036
TS-001462,EMP-1098,Employee 1396,Campus C,Library,2026-02-20,18.66,7.33,136.78,Rejected,2026-02-20,2026-02-21,SUP-002
TS-000526,EMP-1158,Employee 1787,Campus D,Library,2026-03-07,11.81,8.67,9.54,Processing,2026-03-08,2026-03-09,SUP-022
TS-002432,EMP-1381,Employee 1213,Campus B,Student Success,2026-05-18,20.14,19.85,399.78,Processing,2026-05-20,2026-05-21,SUP-027
TS-001307,EMP-1277,Employee 1779,Campus A,Financial Aid,2026-02-17,7.33,21.7,159.06,Rejected,2026-02-19,2026-02-21,SUP-039
TS-000759,EMP-1253,Employee 1971,Campus D,Career Services,2026-05-17,19.52,14.73,287.53,Processing,2026-05-20,2026-05-22,SUP-020
TS-000030,EMP-1607,Employee 1993,Campus B,Career Services,2026-05-01,25.31,16.29,412.3,Approved,2026-05-03,2026-05-06,SUP-022
TS-000611,EMP-1665,Employee 1783,Campus C,Registrar,2026-01-25,39.69,16.62,659.65,Approved,2026-01-28,2026-01-31,SUP-016
TS-001865,EMP-1781,Employee 1712,Campus C,Registrar,2026-04-10,3.83,28.51,109.19,Rejected,2026-04-11,2026-04-12,SUP-004
TS-001988,EMP-1285,Employee 1749,Campus B,Financial Aid,2026-04-14,18.53,26.12,484.0,Approved,2026-04-16,2026-04-20,SUP-015
TS-000231,EMP-1384,Employee 1826,Campus D,IT Services,2026-05-15,28.78,20.37,586.25,Approved,2026-05-15,2026-05-18,SUP-032
TS-000934,EMP-1298,Employee 1529,Campus B,Registrar,2026-03-01,20.67,21.62,446.89,Processing,2026-03-01,2026-03-03,SUP-017
TS-001030,EMP-1704,Employee 1675,Campus C,Admissions,2026-02-01,26.77,,,Pending,2026-02-03,2026-02-08,SUP-029
TS-001566,EMP-1154,Employee 1732,Campus B,Financial Aid,2026-03-30,19.22,28.34,544.69,Processing,2026-04-02,2026-04-03,SUP-001
TS-001568,EMP-1155,Employee 1685,Campus C,Facilities,2026-04-30,23.36,15.1,352.74,Approved,2026-05-03,2026-05-08,SUP-013
TS-002139,EMP-1081,Employee 1484,Campus C,Library,2026-01-26,39.92,26.27,1048.7,Processing,2026-01-29,2026-01-30,SUP-040
TS-002100,EMP-1625,Employee 1271,Campus E,Library,2026-01-06,20.72,5.61,116.24,Rejected,2026-01-09,2026-01-10,SUP-001
TS-001400,EMP-1320,Employee 1699,Campus D,Facilities,2026-04-14,13.25,16.47,218.23,Pending,2026-04-15,2026-04-17,SUP-019
TS-001550,EMP-1659,Employee 1794,Campus D,Registrar,2026-05-25,25.27,7.77,196.35,Processing,2026-05-25,2026-05-29,SUP-010
TS-002230,EMP-1005,Employee 1358,Campus E,Financial Aid,2026-03-14,16.53,16.49,272.58,Pending,2026-03-16,2026-03-19,SUP-039
TS-002489,EMP-1564,Employee 1723,Campus B,Student Success,2026-04-17,10.46,16.75,175.21,Pending,2026-04-20,2026-04-21,SUP-035
TS-000898,EMP-1511,Employee 1159,Campus A,Admissions,2026-06-04,7.25,16.27,23.77,Processing,2026-06-05,2026-06-10,SUP-030
TS-001611,EMP-1567,Employee 1972,Campus A,Financial Aid,2026-02-14,8.43,6.92,58.34,Pending,2026-02-14,2026-02-16,SUP-039
TS-000889,EMP-1745,Employee 1399,Campus D,Student Success,2026-01-18,17.67,23.78,420.19,Pending,2026-01-18,2026-01-23,SUP-006
TS-000495,EMP-1096,Employee 1970,Campus B,Facilities,2026-06-07,16.29,23.17,377.44,Rejected,2026-06-09,2026-06-12,SUP-021
TS-000843,EMP-1091,Employee 1362,Campus D,IT Services,2026-03-12,37.73,27.3,1030.03,Pending,2026-03-15,2026-03-20,SUP-020
TS-001516,EMP-1428,Employee 1212,Campus B,Registrar,2026-06-04,14.85,29.97,445.05,Pending,2026-06-07,2026-06-12,SUP-009
TS-000739,EMP-1720,Employee 1218,Campus B,Student Success,2026-03-26,16.61,26.04,432.52,Approved,2026-03-29,2026-03-31,SUP-024
TS-001481,EMP-1625,Employee 1971,Campus C,Registrar,2026-01-13,17.9,10.86,194.39,Approved,2026-01-15,2026-01-16,SUP-030
TS-001067,EMP-1127,Employee 1274,Campus D,Financial Aid,2026-03-28,18.46,12.28,226.69,Pending,2026-03-28,2026-03-31,SUP-035
TS-002207,EMP-1143,Employee 1616,Campus A,Registrar,2026-01-13,1.11,13.74,15.25,Pending,2026-01-16,2026-01-20,SUP-001
TS-000596,EMP-1696,Employee 1732,Campus B,IT Services,2026-02-13,37.05,4.62,171.17,Processing,2026-02-13,2026-02-14,SUP-024
TS-002099,EMP-1001,Employee 1661,Campus C,Facilities,2026-04-27,26.14,15.35,401.25,Pending,2026-04-28,2026-05-03,SUP-038
TS-000912,EMP-1523,Employee 1132,Campus D,Library,2026-05-12,4.26,16.65,70.93,Processing,2026-05-14,2026-05-17,SUP-017
TS-001742,EMP-1549,Employee 1470,Campus B,Financial Aid,2026-02-04,39.68,5.64,223.8,Rejected,2026-02-06,2026-02-10,SUP-018
TS-000577,EMP-1258,Employee 1381,Campus A,IT Services,2026-03-30,39.12,27.14,1061.72,Approved,2026-04-01,2026-04-04,SUP-014
TS-002345,EMP-1772,Employee 1756,Campus E,Admissions,2026-01-20,10.99,14.23,156.39,Pending,2026-01-20,2026-01-22,SUP-037
TS-000254,EMP-1718,Employee 1720,Campus C,Facilities,2026-05-25,22.14,11.24,248.85,Approved,2026-05-26,2026-05-30,SUP-006
TS-002039,EMP-1204,Employee 1684,Campus B,Registrar,2026-04-26,16.29,16.77,273.18,Processing,2026-04-26,2026-05-01,SUP-023
TS-002311,EMP-1451,Employee 1685,Campus B,Student Success,2026-03-01,16.35,19.98,326.67,Pending,2026-03-01,2026-03-06,SUP-003
TS-002070,EMP-1157,Employee 1265,Campus B,Student Success,2026-05-10,13.48,,,Rejected,2026-05-13,2026-05-14,SUP-021
TS-001342,EMP-1207,Employee 1024,Campus C,Admissions,2026-02-25,100.25,28.79,2886.2,Processing,2026-02-26,2026-03-01,SUP-021
TS-000048,EMP-1326,Employee 1282,Campus B,Career Services,2026-04-27,26.03,20.84,542.47,Approved,2026-04-27,2026-04-29,SUP-004
TS-002374,EMP-1648,Employee 1267,Campus B,Admissions,2026-02-23,3.91,8.65,33.82,Processing,2026-02-25,2026-02-27,SUP-037
TS-000273,EMP-1357,Employee 1035,Campus Z,Facilities,2026-01-31,38.01,11.05,420.01,Pending,2026-02-03,2026-02-05,SUP-013
TS-000994,EMP-1253,Employee 1106,Campus D,Admissions,2026-05-10,3.17,10.02,31.76,Processing,2026-05-13,2026-05-17,SUP-031
TS-000229,EMP-1630,Employee 1626,Campus E,Admissions,2026-03-21,1.49,10.37,15.45,Approved,2026-03-22,2026-03-23,SUP-011
TS-002061,EMP-1543,Employee 1666,Campus C,IT Services,2026-02-19,35.18,29.18,198.85,Pending,2026-02-20,2026-02-22,SUP-008
TS-000772,EMP-1350,Employee 1840,Campus C,Facilities,2026-02-13,4.92,13.94,68.58,Processing,2026-02-13,2026-02-18,SUP-011
TS-001445,EMP-1344,Employee 1905,Campus B,Financial Aid,2026-05-12,36.38,23.65,860.39,Processing,2026-05-15,2026-05-18,SUP-003
TS-001425,EMP-1046,Employee 1167,Campus A,IT Services,2026-05-04,19.26,29.57,569.52,Processing,2026-05-04,2026-05-06,SUP-008
TS-000905,EMP-1691,Employee 1322,Campus D,Library,2026-02-03,16.88,24.12,407.15,Approved,2026-02-03,2026-02-06,SUP-033
TS-001862,EMP-1127,Employee 1842,Campus A,Facilities,2026-04-02,31.37,11.89,372.99,Processing,2026-04-02,2026-04-04,SUP-022
